timestamp, utilization_gpu_pct, utilization_memory_pct, memory_used_mib, power_draw_w, temperature_gpu_c, clocks_sm_mhz, clocks_mem_mhz
2026/08/17 08:27:58.943, 100, 0, 612, 74.83, 70, 2767, 14001
2026/08/17 08:27:59.240, 100, 0, 612, 75.26, 70, 2767, 14001
2026/08/17 08:27:59.536, 100, 0, 612, 75.26, 70, 2767, 14001
2026/08/17 08:27:59.833, 100, 0, 612, 75.89, 71, 2767, 11001
2026/08/17 08:28:00.128, 100, 0, 612, 76.25, 71, 2767, 11001
2026/08/17 08:28:00.426, 100, 0, 612, 76.25, 71, 2767, 11001
2026/08/17 08:28:00.721, 100, 0, 612, 75.25, 71, 2767, 9001
2026/08/17 08:28:01.031, 100, 0, 612, 75.25, 71, 2767, 9001
2026/08/17 08:28:01.327, 100, 0, 612, 73.38, 71, 2767, 9001
2026/08/17 08:28:01.626, 100, 0, 612, 73.02, 71, 2767, 9001
2026/08/17 08:28:01.923, 100, 0, 612, 73.02, 71, 2767, 9001
2026/08/17 08:28:02.216, 100, 0, 612, 72.93, 70, 2767, 9001
2026/08/17 08:28:02.514, 100, 0, 612, 72.93, 70, 2767, 9001
2026/08/17 08:28:02.813, 100, 0, 612, 72.68, 71, 2767, 9001
2026/08/17 08:28:03.124, 100, 0, 612, 73.70, 71, 2767, 9001
2026/08/17 08:28:03.422, 100, 0, 612, 73.70, 71, 2767, 9001
2026/08/17 08:28:03.720, 100, 0, 612, 72.88, 70, 2767, 11001
2026/08/17 08:28:04.015, 100, 0, 612, 72.88, 70, 2767, 11001
2026/08/17 08:28:04.309, 100, 0, 612, 68.56, 70, 2767, 14001
2026/08/17 08:28:04.605, 100, 0, 612, 70.16, 71, 2767, 14001
2026/08/17 08:28:04.904, 100, 0, 612, 70.16, 71, 2767, 14001
2026/08/17 08:28:05.200, 100, 0, 612, 76.36, 71, 2767, 11001
2026/08/17 08:28:05.499, 100, 0, 612, 76.36, 71, 2767, 11001
2026/08/17 08:28:05.811, 100, 0, 612, 76.84, 71, 2767, 9001
2026/08/17 08:28:06.124, 100, 0, 612, 74.77, 71, 2767, 9001
2026/08/17 08:28:06.435, 100, 0, 612, 74.77, 71, 2767, 9001
2026/08/17 08:28:06.732, 100, 0, 612, 74.32, 71, 2767, 9001
2026/08/17 08:28:07.028, 100, 0, 612, 74.32, 71, 2767, 9001
2026/08/17 08:28:07.343, 100, 0, 612, 72.82, 70, 2767, 11001
2026/08/17 08:28:07.639, 100, 0, 612, 69.62, 70, 2767, 14001
2026/08/17 08:28:07.934, 100, 0, 612, 69.62, 70, 2767, 14001
2026/08/17 08:28:08.231, 100, 0, 612, 70.87, 71, 2767, 14001
2026/08/17 08:28:08.528, 100, 0, 612, 70.87, 71, 2767, 14001
2026/08/17 08:28:08.826, 100, 0, 612, 75.12, 71, 2767, 14001
2026/08/17 08:28:09.125, 100, 0, 612, 74.96, 71, 2767, 14001
2026/08/17 08:28:09.423, 100, 0, 612, 74.96, 71, 2767, 14001
